# Command: ../build/unigen_static -e 0.3 -r 1.5 --samples {} benchmarks/dummy.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
1300,20,7.1866146353517255,7.075678337001591,6.299491871002829,8.436219921000884
1350,20,7.169897668849444,7.341736456000945,5.818885892993421,8.425461508995795
1400,20,7.121715005549413,7.252797729499434,5.475421055001789,8.11581001799641
1450,20,7.827399740100373,7.828792084499582,6.277213801004109,8.99763354800234
1500,20,8.00616061744986,8.047474273000262,6.067511230998207,9.653932912995515
1550,20,8.005319523750222,8.014630745496106,6.765432202999364,9.526856857002713
1600,20,8.217129312901307,8.273970130499947,6.340755236000405,9.69303329399554
1650,20,8.629114808200393,8.43136441149909,7.236569884000346,10.661881257001369
1700,20,9.357870041149363,9.415122864997102,7.4898418550001225,11.204196273996786
1750,20,8.857390430348824,8.875948152501223,7.1936675180040766,10.543126454998855
1800,20,9.706428256700018,9.60282133700457,7.9394084100058535,11.252916829995229
1850,20,9.851828822949027,9.824149521999061,8.74819806299638,11.263947116000054
1900,20,9.888977227250871,9.918550369500736,7.978184858002351,11.873893383002724
1950,20,10.598752025348949,10.70027863499854,7.279514993002522,13.22560601800069
2000,20,10.770719690750047,10.85813369400421,9.196793923001678,12.364037905004807
2050,20,10.740759383048498,10.771042183499958,8.36952196600032,12.413327455993567
2100,20,11.212324431300294,11.133248895999714,9.012975057004951,13.451769282000896
2150,20,10.921998461999829,10.785100819499348,9.399096455999825,13.828894740996475
2200,20,11.507165510749838,11.299036500000511,9.536202588999004,13.382001737001701
2250,20,11.306681380699956,11.262219682499563,9.43675548399915,13.21544514100242
2300,20,12.111928751850792,11.797163066999929,10.023677121003857,13.887925934002851
2350,20,12.7874405887007,12.822528892003902,11.126382754002407,14.449826363998
2400,20,12.752999700699366,12.837608064499364,10.503737912003999,15.149836026997946
2450,20,12.771765102850622,12.728313601000991,11.283603864001634,15.084145029002684
2500,20,12.384745272851797,12.631897922499775,10.291158997999446,14.017093494003348
2550,20,13.292692297250687,13.514749619000213,11.225259797000035,15.004341776002548
2600,20,13.606867789349781,13.558806201501284,11.857732794996991,15.347478759002115
2650,20,13.551119133050452,13.447889484999905,11.636390280000342,16.58886293999967
2700,20,13.837781691500641,13.740546940000058,12.110708421001618,15.814506594004342
2750,20,14.45173418154991,14.4382912330002,12.35539826999593,17.270102804999624
2800,20,15.025928771699546,15.059087956498843,13.143374942002993,18.034206738004286
2850,20,14.88198916475012,14.495707685498928,13.014475170006335,17.798820459996932
2900,20,15.24757680679977,14.953975202995935,12.76055968899891,19.45700704200135
2950,20,15.053660118199696,15.063461947000178,12.412319189999835,17.40848600299796
3000,20,15.763570923449151,15.906431254497875,13.823414860999037,18.110632527001144
3050,20,15.82576987939974,15.568821122502413,14.056922919000499,18.784576216996356
3100,20,16.345425763899765,16.054027787999075,14.446741656996892,19.018106716997863
3150,20,16.302881201699712,16.324722903500515,14.38237528299942,19.183627725004044
3200,20,16.75060224825029,16.53075148949938,15.0839957720018,18.72242865699809
3250,20,16.259241747800843,16.09771353600445,13.387085656999261,18.16204394899978
3300,20,17.036196620349074,16.88769500300259,13.991048923002381,18.882774934994814
3350,20,16.469434186200306,16.4772638525028,14.142432241002098,18.79403528799594
3400,20,17.408460823001587,16.941817136997997,15.18414787400252,20.784380329998385
3450,20,17.927584465100153,17.90288405499814,15.66307531700295,20.6131133509989
3500,20,17.526994328749787,17.184378120000474,14.803559663996566,20.353807428997243
3550,20,18.5230908882495,18.638919288499892,16.198032391002926,20.36882116599736
3600,20,18.638203844099554,18.598697163000907,15.873357708995172,22.307850868004607
3650,20,18.42607715595077,18.76875826649848,15.440982150001219,21.54108980500314
3700,20,19.266090992099997,19.035734687498916,17.579860229001497,22.55982104600116
3750,20,19.181882219499677,19.302901549501257,16.376708907999273,20.97799872399628
3800,20,20.382186541499685,20.978694759498467,15.372366270996281,21.97921602000133
3850,20,19.52668704245043,19.492299881498184,16.33932427900436,22.57747123399895
3900,20,19.4333714315002,19.486731514498388,16.934698509001464,21.27331429199694
3950,20,20.665296513400243,20.508021309498872,18.234994828002527,24.959223229998315
4000,20,20.280982110050537,20.315145603002748,17.73791356300353,22.359098633998656
4050,20,20.790951107750153,20.88060479250271,19.11625957799697,23.406100191001315
4100,20,20.546466375199817,20.164810632999433,18.692828564999218,23.55284975199902
4150,20,21.4170028805489,21.242155142997944,19.05850913299946,24.913740395997593
4200,20,21.506919342299078,22.06003008799962,18.176992547996633,24.1663370440001
4250,20,21.294925094449717,21.573701040000742,18.31297656899551,22.848634811998636
4300,20,22.4646877246003,22.430627648500376,20.368966884001566,24.69574766400183
4350,18,23.893817606278997,23.493799349500478,21.001508137997007,30.893957186002808
4400,20,23.050666849601477,23.24787040299998,20.766673965001246,24.925818274001358
4450,20,22.78082515620081,22.62623073750001,20.350079703996016,24.77628123100294
4500,20,22.836676757799797,22.74165602550056,20.57019331400079,25.656656737999583
4550,20,23.38975347070009,23.332571520499187,20.103249617000984,27.714002214001084
4600,20,23.705424855400633,23.55485064399909,21.380514196003787,25.996905560001323
4650,20,23.614191884349204,23.509597334999853,20.767213668994373,25.440412999996624
4700,20,23.312551215699205,23.707289420999587,20.76966013499623,25.410309825994773
4750,20,23.969381620700368,24.09457734100215,19.5262431930023,27.656816707996768
4800,20,24.650734782449945,24.39604282250002,22.126201799001137,27.917436050003744
4850,20,25.190063802750593,25.32711725650006,22.95789161400171,28.771817275999638
4900,20,24.705023566598904,24.405917535998015,22.879418565993547,27.65946992199315
4950,20,25.989720919250612,25.96698337750422,22.00298735400429,28.664949230995262
5000,20,23.147271176748838,23.77378209049857,15.738739382999483,26.61717120299727
