# Command: ../build/unigen_static -e 0.3 -r 1.5 --samples {} benchmarks/dummy.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
1750,20,13.21465508864967,13.097398393998446,10.986664980999194,16.069300766997912
1800,20,14.302896601349493,14.422708515496197,11.62337844799913,16.36825854700146
1850,20,14.52708806525079,14.79855017150112,11.533430461000535,18.456465649993333
1900,20,14.91916729059958,15.13296734600226,11.441316852004093,18.72224778099917
1950,20,14.810631512449982,14.489583595499425,12.854984920995776,17.92924428799597
2000,20,14.692273124100392,14.717043087999627,12.555839472996013,18.195921815000474
2050,20,15.082445031649694,14.974815116998798,13.474075446996721,17.578777789000014
2100,20,15.134760624799673,15.234039003997168,12.62965570900269,17.03161728499981
2150,20,16.061483433649848,15.671306617001392,13.8151434639949,20.569314000000304
2200,20,16.95220890865021,16.942463446001057,15.252444862002449,19.85439026500535
2250,20,16.77392900259947,16.757012781497906,14.731401786993956,19.182303617999423
2300,20,18.2185395520999,18.19605896700159,13.909723994998785,21.722455078997882
2350,20,17.59009271859977,17.327531356499094,14.834730973998376,20.281866592005827
2400,20,17.995225568649765,18.335019200003444,15.741555219996371,19.923066373994516
2450,20,18.406939279200014,17.936465748000046,16.52164484000241,21.547560273000272
2500,20,18.165769478099172,17.785085001498373,14.25595035799779,23.51543620200391
2550,20,19.241541507450165,19.319087705498532,16.443518403997587,23.817608823999763
2600,20,18.397034965599232,18.36946574799731,15.979956575996766,20.992370660002052
2650,20,19.961091218399815,19.756582908499695,16.789959317000466,23.299518378997163
2700,20,19.898407527949168,19.992120939499728,17.292441596997378,24.72943355300231
2750,20,21.487763278949934,20.86086772949784,18.39878614799818,24.571571603999473
2800,20,21.56854893084892,21.970584304999647,17.916001438999956,23.735630683993804
2850,20,21.340976165700702,21.562856635999196,17.823088698998617,24.356981545999588
2900,20,21.38394343595064,21.19349421750303,18.152802819997305,24.62404541199794
2950,20,21.954485809599646,21.685916474001715,19.47350115399604,25.515377256997454
3000,20,21.598108895151746,21.359190936502273,18.341971637004463,28.002519335001125
3050,20,24.063607424400107,23.710071566001716,18.691792598001484,31.4127508629972
3100,20,24.921639077550573,24.4735218349997,21.7060544699998,29.60163916199963
3150,20,25.00733746654987,25.03104257149971,21.795522682004957,28.888050277004368
3200,20,22.918936099450367,22.989766429000156,19.71944106099545,27.56437084999925
3250,20,23.58367013345014,23.39184649050003,21.209509795000486,25.7405068070002
3300,20,23.761432612049976,23.8055309650008,21.057970797999587,27.390203622002446
3350,20,23.618599585900302,23.252239384499262,20.924643324004137,25.686405877000652
3400,20,25.08404225629929,24.975872233499103,22.844676284999878,27.819950605000486
3450,20,24.778950511949734,24.492108804501186,22.41264007599966,29.821868289000122
3500,20,26.14453576039923,26.411671153000498,21.7948853889975,29.285380937006266
3550,20,25.84103053464969,25.818459817000985,22.964427808998153,28.6551405479986
3600,20,25.795083401400188,25.680673553502857,22.60039977999986,28.50402735300304
3650,20,26.99395802590043,26.5149549475027,24.368076872997335,30.57737250500213
3700,20,26.97071069594931,26.49812542500149,23.746196109001176,34.571916107001016
3750,20,27.01745616229964,26.743628027998056,23.91055166300066,34.186678594000114
3800,20,26.61368599544985,26.64473848599664,23.909106029001123,31.43016601599811
3850,20,27.212576835550134,27.215992891997303,22.70688567000616,32.01153285599867
3900,20,27.30813333129954,27.124429639501614,23.764499854005408,31.306458528000803
3950,20,27.855554552450485,27.519493024999974,23.139601228001993,32.711550294006884
4000,20,28.02324752045097,27.513455117503327,25.52452458100015,35.8511976699956
4050,20,28.148817537998546,28.22018374599793,25.114666002999,31.336666545998014
4100,20,29.93871597619982,30.313619867498346,25.50363393600128,32.70596622800076
4150,20,29.95761875399876,30.31327517549653,25.856103641999653,33.70577236700046
4200,20,30.000049451100494,29.854569202499988,26.412706217997766,35.28248287099996
4250,20,29.395277939550216,29.22593949650036,25.92686493400106,34.39922288300295
4300,20,31.913704467899514,31.764683556997625,27.763050725996436,37.01687892500195
4350,20,30.93039073425025,30.624851348002267,28.7851014110056,34.457622744004766
4400,20,32.04675549764943,32.29388719099734,27.852292678995582,36.56407320300059
4450,20,31.07415857830092,31.681755237001198,26.533051190999686,35.514352734004206
4500,20,31.320130006601175,31.53725794100319,27.373892096999043,34.79466008199961
4550,20,31.83565992494987,31.585693259003165,28.90939654599788,36.30559123800049
4600,20,32.97107232075105,32.61843510999461,28.31296652200399,37.76258887700533
4650,20,32.42118126009918,32.575907213496976,27.65752666100161,36.776497398001084
4700,20,32.06017961914986,32.11627374599993,27.4623463550015,37.597173031994316
4750,20,33.686273948150486,33.265476232503715,29.662901634001173,37.29490117999376
4800,20,32.906361441900664,32.95448450999902,29.431897726004536,36.67508003300463
4850,20,34.03018622994932,34.097314116501366,29.04945653899631,38.657119294999575
4900,20,33.9138176698998,34.00282424800025,28.706403732998297,38.298100878004334
4950,20,33.73112049749943,33.339774748495984,28.244950707994576,38.88945661599428
5000,20,31.08932823345058,31.299438857000496,25.15337167999678,38.00001375799911
