Input_File,Run_ID,e,r,sampleout,samples,Outcome,Sampling_Case,Success_Prob,Solutions_Found,ApproxMC_Time,Sampling_Time,Avg_Sample_Time,CPU_Time,Wall_Time,Space_MB,Result_Code,Directory_Ref
02B-3.cnf.gz.no_w.cnf,71,0.3,1.5,sampleout,100,Success,Non-Ideal,0.0000,0,30.3400,129.2400,N/A,159.86,212.87,48.0,0,02B-3.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run71
02B-3.cnf.gz.no_w.cnf,72,0.3,1.6,sampleout,100,Success,Non-Ideal,0.0000,0,26.3900,129.8100,N/A,156.56,206.74,50.0,0,02B-3.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run72
02B-4.cnf.gz.no_w.cnf,73,0.3,1.1,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,262.6900,,N/A,1976.63,3903.59,57.0,2,02B-4.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run73
02B-4.cnf.gz.no_w.cnf,74,0.3,1.2,sampleout,100,Timeout (Finished),Non-Ideal,0.0000,0,201.8900,1554.9000,N/A,1757.42,3903.31,54.0,2,02B-4.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run74
02B-4.cnf.gz.no_w.cnf,75,0.3,1.3,sampleout,100,Success,Non-Ideal,0.0000,0,176.9200,996.4300,N/A,1173.83,1570.91,52.0,0,02B-4.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run75
02B-4.cnf.gz.no_w.cnf,76,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,185.6800,998.3300,N/A,1184.56,1656.8,53.0,0,02B-4.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run76
02B-4.cnf.gz.no_w.cnf,77,0.3,1.5,sampleout,100,Success,Non-Ideal,0.0000,0,167.3400,631.3700,N/A,799.18,1097.28,51.0,0,02B-4.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run77
02B-4.cnf.gz.no_w.cnf,78,0.3,1.6,sampleout,100,Success,Non-Ideal,0.0000,0,168.0700,626.6400,N/A,795.18,1048.77,53.0,0,02B-4.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run78
02B-5.cnf.gz.no_w.cnf,79,0.3,1.1,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1699.2700,,N/A,2854.82,3901.29,60.0,2,02B-5.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run79
02B-5.cnf.gz.no_w.cnf,80,0.3,1.2,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1364.8900,,N/A,2841.53,3901.28,52.0,2,02B-5.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run80
02B-5.cnf.gz.no_w.cnf,81,0.3,1.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1230.3400,,N/A,2014.79,3904.81,51.0,2,02B-5.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run81
02B-5.cnf.gz.no_w.cnf,82,0.3,1.4,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1207.9400,,N/A,2020.03,3904.62,46.0,2,02B-5.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run82
02B-5.cnf.gz.no_w.cnf,83,0.3,1.5,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1041.5800,,N/A,2020.09,3904.58,46.0,2,02B-5.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run83
02B-5.cnf.gz.no_w.cnf,84,0.3,1.6,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1033.9400,,N/A,2011.03,3904.6,46.0,2,02B-5.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run84
03A-1.cnf.gz.no_w.cnf,85,0.3,1.1,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,03A-1.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run85
03A-1.cnf.gz.no_w.cnf,86,0.3,1.2,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,03A-1.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run86
03A-1.cnf.gz.no_w.cnf,87,0.3,1.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,03A-1.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run87
03A-1.cnf.gz.no_w.cnf,88,0.3,1.4,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.03,0.0,0,03A-1.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run88
03A-1.cnf.gz.no_w.cnf,89,0.3,1.5,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,03A-1.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run89
03A-1.cnf.gz.no_w.cnf,90,0.3,1.6,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,03A-1.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run90
03A-2.cnf.gz.no_w.cnf,91,0.3,1.1,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,03A-2.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run91
03A-2.cnf.gz.no_w.cnf,92,0.3,1.2,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.06,0.0,0,03A-2.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run92
03A-2.cnf.gz.no_w.cnf,93,0.3,1.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.05,0.0,0,03A-2.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run93
03A-2.cnf.gz.no_w.cnf,94,0.3,1.4,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.03,0.0,0,03A-2.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run94
03A-2.cnf.gz.no_w.cnf,95,0.3,1.5,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,03A-2.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run95
03A-2.cnf.gz.no_w.cnf,96,0.3,1.6,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,03A-2.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run96
