Input_File,Run_ID,e,sampleout,samples,Outcome,Sampling_Case,Success_Prob,Solutions_Found,ApproxMC_Time,Sampling_Time,Avg_Sample_Time,CPU_Time,Wall_Time,Space_MB,Result_Code,Directory_Ref
07B-6.cnf.gz.no_w.cnf,51,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3116.97,3901.23,88.0,2,07B-6.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run51
08A-1.cnf.gz.no_w.cnf,52,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.2500,29.2200,N/A,29.67,37.77,9.0,0,08A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run52
08A-2.cnf.gz.no_w.cnf,53,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.2500,28.1500,N/A,28.61,36.75,9.0,0,08A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run53
08A-3.cnf.gz.no_w.cnf,54,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0800,0.0100,N/A,0.08,0.25,4.0,0,08A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run54
08A-4.cnf.gz.no_w.cnf,55,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,08A-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run55
08B-1.cnf.gz.no_w.cnf,56,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1130.4800,,N/A,3244.81,3901.29,59.0,2,08B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run56
08B-2.cnf.gz.no_w.cnf,57,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,2115.6800,,N/A,3016.49,3901.27,78.0,2,08B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run57
08B-3.cnf.gz.no_w.cnf,58,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3099.34,3901.28,101.0,2,08B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run58
08B-4.cnf.gz.no_w.cnf,59,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3129.04,3901.28,109.0,2,08B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run59
09A-1.cnf.gz.no_w.cnf,60,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,1.0100,46.9500,N/A,48.16,61.36,17.0,0,09A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run60
09A-2.cnf.gz.no_w.cnf,61,0.3,sampleout,100,Success,Ideal,0.0000,0,0.1900,0.0400,N/A,0.21,0.38,8.0,0,09A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run61
09A-3.cnf.gz.no_w.cnf,62,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.02,0.0,0,09A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run62
09B-1.cnf.gz.no_w.cnf,63,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2050.69,3901.61,73.0,2,09B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run63
09B-2.cnf.gz.no_w.cnf,64,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2057.89,3901.56,88.0,2,09B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run64
09B-3.cnf.gz.no_w.cnf,65,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2067.59,3901.59,111.0,2,09B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run65
09B-4.cnf.gz.no_w.cnf,66,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2090.05,3901.4,145.0,2,09B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run66
09B-5.cnf.gz.no_w.cnf,67,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2065.2,3901.47,143.0,2,09B-5.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run67
09B-6.cnf.gz.no_w.cnf,68,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2067.39,3901.41,212.0,2,09B-6.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run68
10.sk_1_46.cnf.gz.no_w.cnf,69,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.0100,3.7000,N/A,3.75,4.81,20.0,0,10.sk_1_46.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run69
107.sk_3_90.cnf.gz.no_w.cnf,70,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.04,0.0,0,107.sk_3_90.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run70
109.sk_4_36.cnf.gz.no_w.cnf,71,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,,0.6200,N/A,0.7,0.96,12.0,0,109.sk_4_36.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run71
10A-1.cnf.gz.no_w.cnf,72,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.3200,49.6400,N/A,50.25,64.97,15.0,0,10A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run72
10A-2.cnf.gz.no_w.cnf,73,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.1300,16.4500,N/A,16.87,21.57,9.0,0,10A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run73
10A-3.cnf.gz.no_w.cnf,74,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0200,0.0100,N/A,0.03,0.14,0.0,0,10A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run74
10A-4.cnf.gz.no_w.cnf,75,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.03,0.0,0,10A-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run75
10B-1.cnf.gz.no_w.cnf,76,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1594.4400,,N/A,2961.12,3901.28,77.0,2,10B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run76
10B-10.cnf.gz.no_w.cnf,77,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2916.81,3901.29,170.0,2,10B-10.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run77
10B-11.cnf.gz.no_w.cnf,78,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2908.79,3901.28,176.0,2,10B-11.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run78
10B-2.cnf.gz.no_w.cnf,79,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3011.85,3901.27,100.0,2,10B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run79
10B-3.cnf.gz.no_w.cnf,80,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3092.73,3901.33,122.0,2,10B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run80
10B-4.cnf.gz.no_w.cnf,81,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3006.57,3901.29,131.0,2,10B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run81
10B-5.cnf.gz.no_w.cnf,82,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2963.56,3901.28,99.0,2,10B-5.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run82
10B-6.cnf.gz.no_w.cnf,83,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2941.1,3901.28,106.0,2,10B-6.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run83
10B-7.cnf.gz.no_w.cnf,84,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2962.87,3901.3,111.0,2,10B-7.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run84
10B-8.cnf.gz.no_w.cnf,85,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2896.38,3901.27,124.0,2,10B-8.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run85
10B-9.cnf.gz.no_w.cnf,86,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2916.55,3901.33,150.0,2,10B-9.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run86
110.sk_3_88.cnf.gz.no_w.cnf,87,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,110.sk_3_88.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run87
111.sk_2_36.cnf.gz.no_w.cnf,88,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.02,0.0,0,111.sk_2_36.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run88
11A-1.cnf.gz.no_w.cnf,89,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.1300,18.0300,N/A,18.37,24.61,10.0,0,11A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run89
11A-2.cnf.gz.no_w.cnf,90,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.1000,10.6700,N/A,10.97,13.93,17.0,0,11A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run90
11A-3.cnf.gz.no_w.cnf,91,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0300,0.0100,N/A,0.0,0.08,0.0,0,11A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run91
11A-4.cnf.gz.no_w.cnf,92,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.02,0.0,0,11A-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run92
11B-1.cnf.gz.no_w.cnf,93,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3125.18,3901.21,113.0,2,11B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run93
11B-2.cnf.gz.no_w.cnf,94,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3023.16,3901.25,119.0,2,11B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run94
11B-3.cnf.gz.no_w.cnf,95,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3007.75,3901.23,127.0,2,11B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run95
11B-4.cnf.gz.no_w.cnf,96,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3047.9,3901.23,143.0,2,11B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run96
11B-5.cnf.gz.no_w.cnf,97,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3022.19,3901.22,152.0,2,11B-5.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run97
12A-1.cnf.gz.no_w.cnf,98,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.1400,19.8700,N/A,20.27,25.23,9.0,0,12A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run98
12A-2.cnf.gz.no_w.cnf,99,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.0900,9.8000,N/A,9.97,12.51,16.0,0,12A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run99
12A-3.cnf.gz.no_w.cnf,100,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0300,0.0100,N/A,0.0,0.11,0.0,0,12A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run100
12A-4.cnf.gz.no_w.cnf,101,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.02,0.0,0,12A-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run101
12B-1.cnf.gz.no_w.cnf,102,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3089.35,3901.26,107.0,2,12B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run102
12B-2.cnf.gz.no_w.cnf,103,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3085.05,3901.23,111.0,2,12B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run103
12B-3.cnf.gz.no_w.cnf,104,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3090.21,3901.25,111.0,2,12B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run104
12B-4.cnf.gz.no_w.cnf,105,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3071.55,3901.24,145.0,2,12B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run105
12B-5.cnf.gz.no_w.cnf,106,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3067.69,3901.28,122.0,2,12B-5.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run106
12B-6.cnf.gz.no_w.cnf,107,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3135.12,3901.24,146.0,2,12B-6.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run107
13A-1.cnf.gz.no_w.cnf,108,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,1.8600,62.8900,N/A,65.1,77.75,23.0,0,13A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run108
13A-2.cnf.gz.no_w.cnf,109,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.6000,29.7900,N/A,30.6,35.68,14.0,0,13A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run109
13A-3.cnf.gz.no_w.cnf,110,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.6400,32.3100,N/A,33.17,42.36,17.0,0,13A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run110
13A-4.cnf.gz.no_w.cnf,111,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.03,0.0,0,13A-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run111
